21:31:31:980 [ALWAYS]	GUDE Logging Started
21:31:31:980 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:31:31:980 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:31:31:980 [ERROR]	Initialize resume cache pointer failure
21:31:31:980 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:31:31:981 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:31:34:940 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:31:34:941 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:31:34:941 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:31:34:941 [ERROR]	Initialize resume cache pointer failure
21:31:34:941 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:31:34:941 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
